grosssize,grosssizeadjusted,groundfloorsize,livingsize,baths_full,bed,rooms_total,prkgSize,assdImprValue,assdTtlValue,mktTtlValue,taxAmt,baths_total_calculated,property_type,propsubtype,proptype,heatingtype,coolingtype,wallType,saleRecDate,condition,constructiontype,frameType,prkgType,bldgType,saleAmt
1927.0,1927.0,1927.0,1927.0,2.0,3.0,8.0,624.0,18793.0,53758.0,773500.0,5336.54,2.0,SINGLE FAMILY RESIDENCE,RESIDENTIAL,SFR,FORCED AIR,None,BRICK VENEER,2021-11-17,AVERAGE,FRAME,WOOD,"Garage, Detached",CONVENTIONAL HOUSE,760000.0
4898.0,4248.0,484.0,4248.0,3.0,4.0,10.0,650.0,95125.0,131578.0,1893200.0,12884.62,5.0,SINGLE FAMILY RESIDENCE,RESIDENTIAL,SFR,HOT WATER,CENTRAL,MARBLECRETE,2014-07-09,EXCELLENT,FRAME,WOOD,"Garage, Attached",CONVENTIONAL HOUSE,1400000.0
3119.0,3119.0,3119.0,3119.0,2.0,3.0,8.0,500.0,46463.471712990344,13632.0,196150.0,1364.48,2.0,RESIDENTIAL (GENERAL/SINGLE),RESIDENTIAL,SFR,FORCED AIR,None,BRICK VENEER,2019-11-01,GOOD,MASONRY,MASONRY,Carport (Unspecified),CONVENTIONAL HOUSE,1115000.0
3320.0,2732.0,2512.0,2732.0,1.0,4.0,9.0,588.0,46463.471712990344,17896.0,257500.0,1780.96,3.0,RESIDENTIAL (GENERAL/SINGLE),RESIDENTIAL,SFR,FORCED AIR,None,MARBLECRETE,2015-07-21,GOOD,FRAME,WOOD,"Garage, Attached",CONVENTIONAL HOUSE,1150000.0
5870.0,2515.0,2515.0,2515.0,3.0,4.0,10.0,840.0,103298.0,149870.0,2156400.0,14671.26,4.0,SINGLE FAMILY RESIDENCE,RESIDENTIAL,SFR,HOT WATER,CENTRAL,STUCCO,2021-04-27,VERY GOOD,FRAME,WOOD,"Garage, Attached",CONVENTIONAL HOUSE,2649000.0
4333.0,2235.0,2235.0,2235.0,1.0,3.0,11.0,1489.0,53529.0,80259.0,1154800.0,7872.14,3.0,SINGLE FAMILY RESIDENCE,RESIDENTIAL,SFR,FORCED AIR,CENTRAL,BRICK VENEER,2012-07-24,VERY GOOD,FRAME,WOOD,"Garage, Attached",CONVENTIONAL HOUSE,625000.0
3020.0,2600.0,1430.0,2600.0,1.0,5.0,10.0,420.0,52612.0,82914.0,1193000.0,7800.06,4.0,SINGLE FAMILY RESIDENCE,RESIDENTIAL,SFR,HOT WATER,None,BRICK VENEER,2017-06-19,GOOD,MASONRY,MASONRY,"Garage, Attached",CONVENTIONAL HOUSE,1100000.0
4589.0,3605.0,2674.0,3605.0,3.0,4.0,10.0,576.0,46463.471712990344,48629.0,699700.0,4782.74,4.0,RESIDENTIAL (GENERAL/SINGLE),RESIDENTIAL,SFR,HOT WATER,None,BRICK VENEER,2012-08-09,VERY GOOD,MASONRY,MASONRY,"Garage, Attached",CONVENTIONAL HOUSE,1325000.0
2679.0,1975.0,2679.0,1975.0,1.0,3.0,6.0,495.44229852169764,41067.0,75970.0,1093100.0,7453.22,1.0,SINGLE FAMILY RESIDENCE,RESIDENTIAL,SFR,HOT WATER,None,BLOCK,2017-12-12,VERY GOOD,MASONRY,MASONRY,"Garage, Attached",CONVENTIONAL HOUSE,1224020.0
1605.0,1605.0,1325.0,1605.0,1.0,3.0,7.0,984.0,39926.0,82842.0,1191960.0,7445.58,2.0,SINGLE FAMILY RESIDENCE,RESIDENTIAL,SFR,FORCED AIR,None,MARBLECRETE,2002-09-17,GOOD,FRAME,WOOD,Mixed,CONVENTIONAL HOUSE,180625.0
3492.0,2352.0,3492.0,2352.0,1.0,3.0,9.0,1170.0,16452.0,115705.0,1664820.0,11334.26,2.0,SINGLE FAMILY RESIDENCE,RESIDENTIAL,SFR,HOT WATER,None,MARBLECRETE,2012-06-25,GOOD,FRAME,WOOD,Mixed,CONVENTIONAL HOUSE,750000.0
1272.0,1272.0,1272.0,1272.0,1.0,3.0,6.0,560.0,30200.0,63970.0,920441.0,6345.12,1.0,SINGLE FAMILY RESIDENCE,RESIDENTIAL,SFR,FORCED AIR,CENTRAL,STUCCO,2020-12-08,AVERAGE,FRAME,WOOD,Carport (Unspecified),CONVENTIONAL HOUSE,1200000.0
6822.0,4495.0,1928.0,4495.0,2.0,3.0,8.0,399.0,13935.0,58387.0,840100.0,6576.8581297486635,3.0,COMMERCIAL (GENERAL),COMMERCIAL,COMMERCIAL (NEC),FORCED AIR,None,MARBLECRETE,2019-12-02,AVERAGE,FRAME,WOOD,"Garage, Attached",COMMERCIAL,1500000.0
3152.0,1342.0,1342.0,1342.0,2.0,2.0,9.0,572.0,44160.0,66150.0,951800.0,6494.06,3.0,SINGLE FAMILY RESIDENCE,RESIDENTIAL,SFR,FORCED AIR,None,MARBLECRETE,2021-08-16,GOOD,FRAME,WOOD,"Garage, Attached",CONVENTIONAL HOUSE,1800000.0
7836.0,4532.0,2976.0,4532.0,2.0,4.0,10.0,1400.0,46463.471712990344,17834.0,256600.0,1774.9,3.0,RESIDENTIAL (GENERAL/SINGLE),RESIDENTIAL,SFR,HOT WATER,None,BRICK VENEER,2013-06-03,GOOD,FRAME,WOOD,"Garage, Attached",CONVENTIONAL HOUSE,600000.0
4310.0,2610.0,2610.0,2610.0,1.0,3.0,10.0,440.0,57497.0,84074.0,1209700.0,8244.76,4.0,SINGLE FAMILY RESIDENCE,RESIDENTIAL,SFR,FORCED AIR,None,BRICK VENEER,2020-12-22,GOOD,MASONRY,MASONRY,"Garage, Attached",CONVENTIONAL HOUSE,1018000.0
4088.0,2416.0,1660.0,2416.0,1.0,4.0,8.0,598.0,46463.471712990344,15311.0,220300.0,1528.48,1.0,RESIDENTIAL (GENERAL/SINGLE),RESIDENTIAL,SFR,FORCED AIR,None,BRICK VENEER,2016-05-27,GOOD,MASONRY,MASONRY,"Garage, Attached",CONVENTIONAL HOUSE,988000.0
